MLT_UTZTN_BSSH_SN,FRSTN_NM,CNTR_NM,CONM_NM,TPBIZ_NM,REG_DT,REG_YMD,REG_TM,REG_YR,REG_MM,REG_DAY,BDST_USG_NM,INSTL_DCLR_YMD,PFCMP_YMD,STTS_SCSN_YMD,CONM_ADDR,ROAD_NM,BLDG_NM,NLMBLT_MATRL_DSCTN,NLMBLT_INSTL_AREA,FRRST_CMDTY_NM,FRRST_INSTL_AREA,FLR_NO_NM,TRGTOBJ_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,CORP_YN,USE_YN
MU272019164789,중부소방서,남산119안전센터,카페카리타스(Cafe CARITAS),휴게음식점,20210128164247,20210128,164247,2021,01,28,,20190321,20190503,,대구광역시 중구 남산동 ,남산로4길,대구구천주교회유지재단,석고보드. 유리. 타일,430.0,방염필름,108.0,0/2,,양식(옥),철근콘크리트조,Y,Y
MU442019223351,보령소방서,명천119안전센터,뜰안디저트카페,일반음식점,20210310173523,20210310,173523,2021,03,10,근린생활시설,20190417,20190503,,충청남도 보령시 명천동 ,옥마역길,,콘크리트. 방화석고. 유리,391.0,,,0/3,,양식(옥),철골조,,Y
MU412019890128,,,황제 노래연습장,노래연습장업,20211129092103,20211129,092103,2021,11,29,근린생활시설,20190318,20190322,20211126,경기도 수원시 영통구 영통동 ,청명로,,ALC블럭.유리.콘크리트.석고,408.0,필름,23.0,0/5,첼로빌딩 - 첼로빌딩동,양식(옥),철근콘크리트조,,Y
MU422019179270,양양소방서,양양119안전센터,설해 노래연습장,노래연습장업,20210805134539,20210805,134539,2021,08,05,숙박시설,20190404,20190429,20200714,강원도 양양군 손양면 동호리,공항로,설해스테이,대리석. 석고,545.0,합판. 장,15.0,3/6,설해원(구.골든비치리조트설해스테이) - 2동(설해스테이)동,양식(옥),철근콘크리트조,,Y
MU292019169722,동부소방서,대인119안전센터,독일맥주집,일반음식점,20210520135717,20210520,135717,2021,05,20,근린생활시설,20160307,20190430,,광주광역시 동구 광산동 ,서석로,,유리. 콘크리트. 방화석고보드. 타일,873.0,방염필름(선반.벽체.문.서랍장.문틀),87.0,지상4/1,,양식(옥),철근콘크리트조,,N
MU412019902263,안양소방서,안양119안전센터,블랙콩(삼성메가트리아점),일반음식점,20210720112658,20210720,112658,2021,07,20,,20190510,20190520,,경기도 안양시 만안구 안양동 ,안양천서로,,콘크리트. 석고. 유리. 타일,320.0,합판(방염도료),96.0,1/5,메가빌딩(이천석 외 5인 건물) - 메가빌딩(구.이천석외5인건물)동,양식(옥),철근콘크리트조,,Y
MU112019798234,노원소방서,월계119안전센터,(주)신세계푸드 트레이더스 월계점,제과점,20210129152546,20210129,152546,2021,01,29,판매시설,20190304,20190307,,서울특별시 노원구 월계동 ,마들로3길,,금속.타일,459.0,,,지상:5층 지하:1층,(주)신세계푸드 트레이더스 월계점,양식(옥),철골철근콘크리트조,,
MU112019797996,노원소방서,상계119안전센터,여섯시오븐(노원점),일반음식점,20210129225718,20210129,225718,2021,01,29,판매시설,20190130,20190307,,서울특별시 노원구 상계동 ,동일로,롯데백화점노원점,타일.석고.유리.금속.방화석고.천장석고,401.0,합판(방염도료),21.0,지상:12층 지하:4층,여섯시오븐(노원점),양식(옥),철근콘크리트조,,
MU412019897051,동두천소방서,불현119안전센터,더킹,게임제공업,20210126095121,20210126,095121,2021,01,26,,20190415,20190909,20190909,경기도 동두천시 생연동 ,중앙로273번길,,타일. 석고. 시멘트,436.0,,,1/5,,양식(옥),철근콘크리트조,,N
MU262019239219,동래소방서,수안119안전센터,롯데리아메가마트동래점,휴게음식점,20210114092353,20210114,092353,2021,01,14,,20190417,20190503,,부산광역시 동래구 명륜동 ,충렬대로,메가마트,콘크리트.타일.유리.석고보드,539.0,합판.목재(방염도료 및 방염필름),34.0,1/2,,양식(옥),철근콘크리트조,Y,Y
MU472019225392,구미소방서,선산119안전센터,선산스크린골프,가상체험체육시설(스크린골프연습장),20211214083603,20211214,083603,2021,12,14,,20190403,20190501,20211213,경상북도 구미시 선산읍 화조리,동화길,선산스크린골프(골프존파크),불연석고보드.준불연석고보드,738.0,,,0/1,,양식(옥),철골조,,Y
MU272019164790,동부소방서,신천119안전센터,한희,일반음식점,20210810101726,20210810,101726,2021,08,10,복합건축물,20190418,20190503,20210705,대구광역시 동구 효목동 ,효목로,,석고. 타일. 유리,169.0,합판(도료. 필름),111.0,0/6,국제축산건물 - 카페베네동구시장점동,양식(옥),철근콘크리트조,,Y
