adm_cd,adm_nm,gu_cd,fire_rate_per_10k,v2_pred_fire_rate,v2_risk_score,v2_risk_grade,log_avg_living_pop,ratio_65plus,old_bldg_ratio,avg_floors,damage_per_fire,injury_per_fire,avg_living_pop,fire_count,fire_damage,fire_injury,shap_생활인구 (log),shap_65세+ 비율,shap_노후건물비율 (구단위),shap_평균 층수 (구단위),shap_화재당 재산피해 (log),shap_화재당 부상자 수
1117059000,서울특별시 용산구 용문동,11170,13.4164,13.844,7.44,매우높음,9.07071350210587,0.1722,0.7379,2.75,5.89171690473461,0.02631578947368421,8695.826796761281,11.666666666666666,4573.0,0.3333333333333333,0.11872078846428603,-0.0011808594107607087,-0.004438357599438059,0.04801453558288782,-0.034113075003757654,0.0020081222223438814
1174069000,서울특별시 강동구 둔촌1동,11740,7.0324,13.8097,7.39,매우높음,8.512778432821376,0.1718,0.5642,4.1,5.268430732797837,0.0,4976.974860635008,3.5,869.0,0.0,0.1971595827146103,-0.001149841301731009,0.0005887865294019652,-0.027665117700122734,-0.04725876468574728,0.004857562559538462
1117058000,서울특별시 용산구 효창동,11170,14.1105,13.7977,7.38,매우높음,9.153792240725464,0.1596,0.7379,2.75,6.224696573083284,0.02325581395348837,9449.209983578969,13.333333333333334,7225.0,0.3333333333333333,0.10704094175109082,-0.00020378897632513358,-0.004438357599438059,0.04801453558288782,-0.02709022163782813,0.0023394524941106934
1156066000,서울특별시 영등포구 신길4동,11560,12.4681,13.7821,7.36,매우높음,8.955976446989052,0.1876,0.554,3.37,6.712918229117763,0.09375,7753.095597780204,9.666666666666666,8767.666666666666,1.0,0.13485140429156814,-0.0023750566084041894,0.0008839901570022426,0.01325795407513481,-0.016793169215963404,-0.005293568641717232
1117052000,서울특별시 용산구 용산2가동,11170,16.9218,13.7753,7.35,매우높음,9.394081088695026,0.1503,0.7379,2.75,7.675843232142655,0.015625000000000003,12016.042008906476,20.33333333333333,45965.66666666666,0.3333333333333333,0.07325929126136095,0.0005173820586154101,-0.004438357599438059,0.04801453558288782,0.003515821816936056,0.0031657073593291786
1156067000,서울특별시 영등포구 신길5동,11560,17.0785,13.7614,7.33,매우높음,9.165830771570276,0.1715,0.554,3.37,7.7960184203269005,0.057692307692307696,9563.664175836971,16.333333333333332,42118.333333333336,1.0,0.10534847268793733,-0.0011265777199587338,0.0008839901570022426,0.01325795407513481,0.006050429197099554,-0.0013892874104650423
1117070000,서울특별시 용산구 보광동,11170,31.7082,13.7629,7.33,매우높음,9.260417673146325,0.1492,0.7379,2.75,6.807559397141152,0.029126213592233007,10512.523640029112,33.333333333333336,31025.666666666668,1.0,0.09205072009996323,0.0006026818584470865,-0.004438357599438059,0.04801453558288782,-0.014797098258524096,0.0017038130601192173
1111055000,서울특별시 종로구 부암동,11110,13.7898,13.7218,7.27,매우높음,9.548314826464855,0.179,0.3906,2.58,7.6162754899364735,0.0,14020.04685466703,19.33333333333333,41276.333333333336,0.0,0.05157592864552705,-0.0017081672642656222,0.005613036505030223,0.05754456599630396,0.0022594822904774925,0.004857562559538462
1162071500,서울특별시 관악구 난향동,11620,9.3992,13.7218,7.27,매우높음,9.238497410613768,0.1709,0.5979,3.15,7.3209818554840655,0.0,10284.57194959971,9.666666666666666,16114.0,0.0,0.09513243884710945,-0.0010800505564141814,-0.0003865431029636573,0.025590934610143952,-0.0039685372908265125,0.004857562559538462
1147059000,서울특별시 양천구 신월4동,11470,15.9744,13.6588,7.19,매우높음,9.34815831674581,0.1748,0.6145,3.1,7.826518813028313,0.01724137931034483,11476.665743440684,18.33333333333333,48433.66666666666,0.3333333333333333,0.07971546700408419,-0.0013824771194537655,-0.0008669725361170523,0.02839388473173693,0.006693711072559268,0.002990687855859254
1117065000,서울특별시 용산구 이태원1동,11170,35.7981,13.66,7.19,매우높음,9.337943667777013,0.1205,0.7379,2.75,6.75437097208278,0.008000000000000002,11360.02216768559,40.66666666666666,35700.0,0.3333333333333333,0.08115152075462226,0.0028282311813281192,-0.004438357599438059,0.04801453558288782,-0.015918892005878475,0.00399133269703131
1114064500,서울특별시 중구 청구동,11140,13.2086,13.6576,7.19,매우높음,9.337613554142646,0.1801,0.5778,3.2,9.395697248079683,0.2916666666666667,11356.272358333334,15.0,192567.66666666663,4.666666666666667,0.0811979306629985,-0.0017934670640973008,0.0001951816926015963,0.022787984488550954,0.039789155334954925,-0.026723734511034807
