adm_cd,avg_living_pop,avg_65plus_pop,ratio_65plus
1132066000,16787.34311258188,3448.8998279748907,0.2054
1132067000,17173.629270796944,3433.7780517285296,0.1999
1132068000,16303.375669022926,3221.971277037846,0.1976
1132068100,13343.072403538938,2529.6847465793307,0.1896
1132069000,23286.223624099348,4681.1953170123725,0.201
1132070000,11518.123357505458,2868.03656330968,0.249
1132071000,20830.431556268195,4601.8162944141195,0.2209
1135056000,22607.62126290939,3874.2972399563323,0.1714
1135057000,19527.938141557497,4292.933724681587,0.2198
1135058000,24376.8894316139,4866.467614819869,0.1996
1135059500,42540.079120387556,7351.850752874819,0.1728
1135060000,44405.83573444324,5821.984570178311,0.1311
1135061100,25107.853067913027,4437.278403065866,0.1767
1135061200,16557.09030708697,2791.5819270924308,0.1686
1135061900,20659.476818476676,2200.632945228546,0.1065
1135062100,25306.155190793306,2940.028188073144,0.1162
1135062400,16317.689073089521,3451.4373796215427,0.2115
1135062500,32067.042414546944,6089.555850891557,0.1899
1135063000,36622.26370186499,7836.565772416303,0.214
1135064000,28718.76017918486,4958.605626118996,0.1727
1135066500,20247.313470278383,4836.144977802038,0.2389
1135067000,18435.056280312954,4131.477100618631,0.2241
1135069500,46573.7072772107,7774.2390469341335,0.1669
1135070000,17917.84658955604,2719.8182317230717,0.1518
1135071000,17517.009994832606,3160.862609725255,0.1804
1135072000,13228.348074435953,2153.464312154294,0.1628
1138051000,33370.442422698325,6152.445218358806,0.1844
1138052000,28346.81518919214,6135.4077555131,0.2164
1138053000,21150.16103408843,4282.772237763828,0.2025
1138055100,20400.30039787118,3730.3508898653567,0.1829
1138055200,22475.767424717975,3799.270070332969,0.169
1138056000,24985.566268759096,4686.49460117358,0.1876
1138057000,45274.094156304585,7648.960024426856,0.1689
1138058000,23725.89768798217,3759.4730123453423,0.1585
1138059000,16015.274069168487,2364.5461081331873,0.1476
1138060000,24526.93995143741,4740.4375045123725,0.1933
1138062500,41354.666299290395,7157.541577510917,0.1731
1138063100,23429.801948298762,4117.409183296943,0.1757
1138063200,13127.520922216157,2461.9691683315136,0.1875
1138064000,14520.903209097525,2614.544590347525,0.1801
1138065000,12301.046922671034,1861.372930558588,0.1513
1138069000,59346.46403803676,9114.819660325691,0.1536
1141052000,16227.594305467614,2849.9868003184138,0.1756
1141055500,39859.254532405386,4238.639587181587,0.1063
1141056500,40306.01384503275,4961.969575727801,0.1231
1141058500,55890.64782097889,4537.029667367176,0.0812
1141061500,37604.97562077875,4998.703627401746,0.1329
1141062000,23991.49598943777,4798.782081814046,0.2
1141064000,15098.187601746726,3291.643812827511,0.218
1141065500,9991.29853919214,1884.5818329694323,0.1886
1141066000,15356.879070223798,3104.9994259916307,0.2022
1141068500,23004.485255758733,4150.866896488355,0.1804
1141069000,8708.78155525837,1229.976655867904,0.1412
1141070000,19685.477738546215,2881.931675400291,0.1464
1141071000,14165.389575209243,2292.852569768923,0.1619
1141072000,34243.129165547674,6004.1390758096795,0.1753
1144055500,26593.72401048035,3204.483966084425,0.1205
1144056500,38646.720583833696,5277.944233460698,0.1366
1144058500,16510.600007259825,2517.494481195415,0.1525
1144059000,26983.24340280204,3613.32638044032,0.1339
1144060000,23094.217557951237,2345.4958602347165,0.1016
1144061000,15822.81942121543,1851.5011067958515,0.117
1144063000,17235.209232914847,2397.2997433860987,0.1391
1144065500,27136.42342051492,3010.834886790393,0.111
1144066000,72219.99523757277,5355.960651046215,0.0742
1144068000,21840.68979393195,2386.775495924309,0.1093
1144069000,19577.071356268192,2794.563554212154,0.1427
1144070000,16561.48209690724,2541.7864374038822,0.1535
1144071000,18049.390376874093,1986.2632542121544,0.11
1144072000,21216.484890529475,2726.112781113537,0.1285
1144073000,35297.73804084789,5058.682283642649,0.1433
1144074000,48367.47423058588,4808.836682596434,0.0994
1147051000,42870.00673852803,4667.830233133188,0.1089
1147052000,22972.4306863992,3477.3610748362444,0.1514
1147053000,18188.28850635917,2937.7081833151383,0.1615
1147054000,17780.84169724345,2379.833521006186,0.1338
1147055000,38057.33165444869,4688.344440602256,0.1232
1147056000,14810.767849972708,3063.435864774381,0.2068
1147057000,13309.033811672125,2355.973694969068,0.177
1147058000,13177.970783378822,2365.499797370815,0.1795
1147059000,11476.665743440684,2006.3154535480348,0.1748
1147060000,10922.500595351165,1836.4822230713246,0.1681
1147061000,4538.290980913392,789.6996803129549,0.174
1147061100,14984.316421697597,2981.497687099709,0.199
1147062000,16895.198604539666,2313.6300114537844,0.1369
1147063000,13757.287120342067,1911.7282372452692,0.139
1147064000,41062.23792291667,6694.070152119723,0.163
1147065000,32786.199703447965,5251.68051922307,0.1602
1147067000,19833.740795151018,2722.1982398380637,0.1373
1147068000,21393.757527410846,3858.195044359534,0.1803
