adm_cd,adm_nm,sigungu_nm,fire_rate_per_10k,pred_fire_rate,risk_score,risk_grade,ratio_65plus,old_bldg_ratio,avg_floors,multi_use_cnt,multi_use_per_pop,avg_living_pop,avg_65plus_pop,fire_count,fire_injury,fire_damage
1147061100,서울특별시 양천구 신월7동,양천구,17.5739,15.3342,5.58,매우높음,0.199,0.6145,3.1,0.0,0.0,14984.316421697597,2981.497687099709,26.33333333333333,1.0,35457.333333333336
1156058500,서울특별시 영등포구 도림동,영등포구,16.4912,15.33,5.58,매우높음,0.1675,0.554,3.37,0.0,0.0,14553.181141848618,2437.512299490538,24.0,6.333333333333333,172981.33333333334
1154564000,서울특별시 금천구 독산4동,금천구,18.1808,15.3318,5.58,매우높음,0.1692,0.6476,3.1,0.0,0.0,11733.975483997452,1985.3849527747448,21.33333333333333,1.3333333333333333,20439.666666666668
1147058000,서울특별시 양천구 신월3동,양천구,20.2358,15.2998,5.57,매우높음,0.1795,0.6145,3.1,0.0,0.0,13177.970783378822,2365.499797370815,26.666666666666668,0.0,27955.33333333333
1114055000,서울특별시 중구 명동,중구,15.1319,15.3126,5.57,매우높음,0.0731,0.5778,3.2,0.0,0.0,35906.43353352438,2623.228180385735,54.333333333333336,4.0,966838.6666666666
1162058500,서울특별시 관악구 낙성대동,관악구,15.516,15.2126,5.53,매우높음,0.0934,0.5979,3.15,0.0,0.0,23846.39826717613,2227.451328202329,37.0,2.333333333333333,97722.33333333331
1156071000,서울특별시 영등포구 대림2동,영등포구,18.8629,15.191,5.52,매우높음,0.1624,0.554,3.37,0.0,0.0,18554.97286062591,3012.793836672125,35.0,1.6666666666666667,45514.0
1141070000,서울특별시 서대문구 남가좌2동,서대문구,15.409,15.1841,5.51,높음,0.1464,0.6647,2.75,0.0,0.0,19685.47773854621,2881.931675400291,30.33333333333333,1.0,36641.333333333336
1156061000,서울특별시 영등포구 양평1동,영등포구,15.1997,15.1615,5.5,높음,0.1209,0.554,3.37,0.0,0.0,19079.381020978894,2306.872264865357,29.0,1.6666666666666667,107635.66666666669
1156072000,서울특별시 영등포구 대림3동,영등포구,17.184,15.1181,5.48,높음,0.1629,0.554,3.37,0.0,0.0,24247.34974670669,3949.610358870088,41.66666666666666,2.333333333333333,150615.66666666666
1135066500,서울특별시 노원구 상계3·4동,노원구,16.1338,15.1085,5.48,높음,0.2389,0.646,3.44,0.0,0.0,20247.313470278383,4836.144977802038,32.666666666666664,2.0,90481.33333333331
1132052200,서울특별시 도봉구 도봉2동,도봉구,15.105,15.0959,5.47,높음,0.23,0.65,4.79,0.0,0.0,18978.20082731077,4364.810066712154,28.666666666666668,1.0,36806.333333333336
1162057500,서울특별시 관악구 행운동,관악구,17.1665,15.092,5.47,높음,0.142,0.5979,3.15,0.0,0.0,23301.193497298034,3308.356880522198,40.0,1.6666666666666667,95507.33333333331
1126061000,서울특별시 중랑구 중화2동,중랑구,17.8835,14.9801,5.42,높음,0.2028,0.5997,3.26,0.0,0.0,25722.05750623181,5217.39667231623,46.0,3.333333333333333,51555.66666666666
1123070500,서울특별시 동대문구 청량리동,동대문구,12.3762,14.9954,5.42,높음,0.2495,0.6955,3.25,1.0,0.5017387572707988,19930.690733151383,4973.398905485808,24.666666666666668,2.333333333333333,172951.33333333334
1147060000,서울특별시 양천구 신월5동,양천구,15.259,14.9756,5.42,높음,0.1681,0.6145,3.1,0.0,0.0,10922.500595351165,1836.4822230713248,16.666666666666668,1.6666666666666667,22428.0
1111055000,서울특별시 종로구 부암동,종로구,13.7898,14.8903,5.38,높음,0.179,0.3906,2.58,1.0,0.7132643780481499,14020.04685466703,2510.230755422125,19.33333333333333,0.0,41276.333333333336
1121571000,서울특별시 광진구 화양동,광진구,16.553,14.8683,5.37,높음,0.0779,0.6359,3.27,2.0,0.49908453142466475,40073.37182522744,3123.493144423217,66.33333333333333,1.0,116313.33333333331
