adm_cd,adm_nm,year,fire_count,death_cnt,injury_cnt,property_damage
1123057000,서울특별시 동대문구 전농2동,2024,4,0,0,28844
1123060000,서울특별시 동대문구 답십리1동,2021,37,0,1,149820
1123060000,서울특별시 동대문구 답십리1동,2022,10,0,0,22937
1123060000,서울특별시 동대문구 답십리1동,2023,5,0,0,9603
1123060000,서울특별시 동대문구 답십리1동,2024,9,0,0,2655
1123061000,서울특별시 동대문구 답십리2동,2021,49,1,2,87131
1123061000,서울특별시 동대문구 답십리2동,2022,6,0,1,17308
1123061000,서울특별시 동대문구 답십리2동,2023,6,0,0,347
1123061000,서울특별시 동대문구 답십리2동,2024,6,0,0,8759
1123065000,서울특별시 동대문구 장안1동,2021,123,5,11,664811
1123065000,서울특별시 동대문구 장안1동,2022,22,0,0,9916
1123065000,서울특별시 동대문구 장안1동,2023,14,0,0,8211
1123065000,서울특별시 동대문구 장안1동,2024,16,0,2,225861
1123066000,서울특별시 동대문구 장안2동,2021,76,0,1,239973
1123066000,서울특별시 동대문구 장안2동,2022,11,0,2,339992
1123066000,서울특별시 동대문구 장안2동,2023,16,0,1,167598
1123066000,서울특별시 동대문구 장안2동,2024,15,0,0,4032
1123070500,서울특별시 동대문구 청량리동,2021,51,1,4,446963
1123070500,서울특별시 동대문구 청량리동,2022,15,1,2,39233
1123070500,서울특별시 동대문구 청량리동,2023,8,0,1,32658
1123070500,서울특별시 동대문구 청량리동,2024,12,0,2,167637
1123071000,서울특별시 동대문구 회기동,2021,42,0,9,119950
1123071000,서울특별시 동대문구 회기동,2022,6,0,0,27141
1123071000,서울특별시 동대문구 회기동,2023,10,0,0,4609
1123071000,서울특별시 동대문구 회기동,2024,8,0,2,35382
1123072000,서울특별시 동대문구 휘경1동,2021,45,0,2,30724
1123072000,서울특별시 동대문구 휘경1동,2022,7,0,1,35136
1123072000,서울특별시 동대문구 휘경1동,2023,8,0,0,17345
1123072000,서울특별시 동대문구 휘경1동,2024,8,0,0,6094
1123073000,서울특별시 동대문구 휘경2동,2021,44,1,1,202165
1123073000,서울특별시 동대문구 휘경2동,2022,10,0,0,58834
1123073000,서울특별시 동대문구 휘경2동,2023,14,0,0,14361
1123073000,서울특별시 동대문구 휘경2동,2024,4,0,1,4569
1123074000,서울특별시 동대문구 이문1동,2021,52,1,1,64180
1123074000,서울특별시 동대문구 이문1동,2022,10,0,0,7181
1123074000,서울특별시 동대문구 이문1동,2023,11,0,0,4116
1123074000,서울특별시 동대문구 이문1동,2024,9,0,1,268022
1123075000,서울특별시 동대문구 이문2동,2021,26,0,4,50883
1123075000,서울특별시 동대문구 이문2동,2022,2,0,0,446
1123075000,서울특별시 동대문구 이문2동,2023,7,0,0,2272
1123075000,서울특별시 동대문구 이문2동,2024,4,0,0,1027
1126052000,서울특별시 중랑구 면목2동,2021,61,1,1,99067
1126052000,서울특별시 중랑구 면목2동,2022,13,1,1,65509
1126052000,서울특별시 중랑구 면목2동,2023,17,0,0,13900
1126052000,서울특별시 중랑구 면목2동,2024,13,0,0,45009
1126054000,서울특별시 중랑구 면목4동,2021,52,0,1,14818
1126054000,서울특별시 중랑구 면목4동,2022,3,0,0,83
1126054000,서울특별시 중랑구 면목4동,2023,7,0,0,761
1126054000,서울특별시 중랑구 면목4동,2024,10,0,0,27013
1126055000,서울특별시 중랑구 면목5동,2021,28,0,0,22117
1126055000,서울특별시 중랑구 면목5동,2022,5,0,0,346
1126055000,서울특별시 중랑구 면목5동,2023,4,0,1,1580
1126055000,서울특별시 중랑구 면목5동,2024,4,0,0,41458
1126056500,서울특별시 중랑구 면목본동,2021,105,0,5,172354
1126056500,서울특별시 중랑구 면목본동,2022,14,0,2,3361
1126056500,서울특별시 중랑구 면목본동,2023,15,0,0,19017
1126056500,서울특별시 중랑구 면목본동,2024,9,0,0,2404
1126057000,서울특별시 중랑구 면목7동,2021,54,2,4,111153
1126057000,서울특별시 중랑구 면목7동,2022,12,1,4,36378
1126057000,서울특별시 중랑구 면목7동,2023,11,0,1,22196
1126057000,서울특별시 중랑구 면목7동,2024,11,0,0,5780
1126057500,서울특별시 중랑구 면목3·8동,2021,82,0,5,61204
1126057500,서울특별시 중랑구 면목3·8동,2022,8,0,1,5578
1126057500,서울특별시 중랑구 면목3·8동,2023,12,0,0,13933
1126057500,서울특별시 중랑구 면목3·8동,2024,11,0,0,1925
1126058000,서울특별시 중랑구 상봉1동,2021,48,2,1,144399
1126058000,서울특별시 중랑구 상봉1동,2022,8,1,1,7504
1126058000,서울특별시 중랑구 상봉1동,2023,8,0,8,38004
1126058000,서울특별시 중랑구 상봉1동,2024,7,0,0,8195
1126059000,서울특별시 중랑구 상봉2동,2021,86,0,2,71350
1126059000,서울특별시 중랑구 상봉2동,2022,20,0,2,18182
