adm_cd,adm_nm,cntr_dist_avg,cntr_dist_median,dispatch_delay_avg,dispatch_delay_median,fire_count_raw,death_cnt,injury_cnt
1123054500,서울특별시 동대문구 제기동,1.4181286549707601,1.0,3.455910852713178,3.416666666666667,172,2,14
1144068000,서울특별시 마포구 합정동,1.4168316831683168,1.0,3.37196261682243,3.066666666666667,107,0,1
1138058000,서울특별시 은평구 응암1동,1.4106060606060604,1.2,3.3115196078431373,3.0833333333333335,68,0,3
1174058000,서울특별시 강동구 암사2동,1.4105263157894736,1.0,2.7718253968253967,2.716666666666667,42,1,0
1174054000,서울특별시 강동구 명일2동,1.4095238095238096,1.0,3.3329365079365076,3.225,42,0,0
1138051000,서울특별시 은평구 녹번동,1.4042105263157896,1.0,3.1126666666666667,3.0,101,2,5
1117070000,서울특별시 용산구 보광동,1.4010309278350517,1.0,4.053333333333333,4.0,100,0,3
1144055500,서울특별시 마포구 아현동,1.4,1.2,3.6821428571428574,3.875,42,0,3
1168058000,서울특별시 강남구 삼성1동,1.3992248062015504,1.0,3.332716049382716,3.283333333333333,136,0,14
1147055000,서울특별시 양천구 목5동,1.3925925925925926,1.15,3.3883040935672515,3.466666666666667,57,0,2
1135064000,서울특별시 노원구 상계2동,1.3891089108910892,1.0,3.317601246105919,3.2333333333333334,107,1,6
1153074000,서울특별시 구로구 개봉1동,1.388372093023256,1.0,3.6371647509578544,3.6166666666666667,87,1,2
1174057000,서울특별시 강동구 암사1동,1.3858333333333335,1.0,3.7855643044619423,3.1666666666666665,128,0,1
1130560800,서울특별시 강북구 번3동,1.3849056603773586,1.0,3.2729559748427675,3.466666666666667,53,0,2
1121575000,서울특별시 광진구 중곡2동,1.3833333333333333,1.0,3.200913242009132,3.1,73,0,2
1121571000,서울특별시 광진구 화양동,1.3823232323232322,1.0,3.6001683501683504,3.75,199,0,3
1129063000,서울특별시 성북구 정릉2동,1.382258064516129,1.0,3.236290322580645,3.2416666666666667,62,0,2
1162077500,서울특별시 관악구 난곡동,1.3753846153846154,1.0,3.6255050505050503,3.583333333333333,66,1,13
1129066000,서울특별시 성북구 길음1동,1.375,1.0,3.4360544217687075,3.4166666666666665,49,0,35
1135062100,서울특별시 노원구 중계1동,1.374,1.0,3.010204081632653,3.0,50,0,2
1156072000,서울특별시 영등포구 대림3동,1.370731707317073,1.0,3.5249333333333333,3.45,125,1,7
1159068000,서울특별시 동작구 신대방2동,1.3692307692307693,1.0,3.4509803921568625,3.3166666666666664,68,2,4
1147062000,서울특별시 양천구 신정1동,1.3688524590163935,1.0,3.6314516129032257,3.6666666666666665,62,0,2
1117057000,서울특별시 용산구 원효로2동,1.3660714285714286,1.0,3.9573099415204678,3.8666666666666667,57,0,3
1114055000,서울특별시 중구 명동,1.3614906832298137,1.0,3.317280163599182,3.35,163,1,12
1114054000,서울특별시 중구 회현동,1.3608695652173912,1.0,3.537394957983193,3.5,119,1,7
1159051000,서울특별시 동작구 노량진1동,1.3558823529411765,1.0,3.6119718309859152,3.2583333333333333,142,2,7
1130553500,서울특별시 강북구 미아동,1.3544554455445545,1.0,3.3953333333333338,3.408333333333333,102,1,2
