adm_cd,adm_nm,risk_class,risk_index,hotspot_rank,lat,lon,fire_count
1147061000,서울특별시 양천구 신월6동,최우선 대응,83.83,1,37.51584062379311,126.84013475517244,29
1120079000,서울특별시 성동구 용답동,최우선 대응,81.87,1,37.564648416000004,127.05228456333332,60
1120079000,서울특별시 성동구 용답동,최우선 대응,81.87,2,37.56001182405405,127.06483154594595,37
1120079000,서울특별시 성동구 용답동,최우선 대응,81.87,3,37.551337125,127.0625961125,8
1154571000,서울특별시 금천구 시흥5동,최우선 대응,81.45,1,37.45143187688524,126.90904296393444,61
1154571000,서울특별시 금천구 시흥5동,최우선 대응,81.45,2,37.447270333333336,126.905777,3
1111056000,서울특별시 종로구 평창동,최우선 대응,80.93,1,37.60693315249999,126.96914189722224,36
1111056000,서울특별시 종로구 평창동,최우선 대응,80.93,2,37.614010574285714,126.97265835714286,7
1111056000,서울특별시 종로구 평창동,최우선 대응,80.93,3,37.60919077666667,126.97577326666668,6
1120054000,서울특별시 성동구 마장동,최우선 대응,79.42,1,37.5676717724031,127.03986195813954,129
1147056000,서울특별시 양천구 신월1동,최우선 대응,78.89,1,37.53143445051948,126.83463382857144,77
1141052000,서울특별시 서대문구 천연동,최우선 대응,78.81,1,37.569354349722225,126.96054225833333,72
1141052000,서울특별시 서대문구 천연동,최우선 대응,78.81,2,37.57662565,126.95345146666666,6
1132052200,서울특별시 도봉구 도봉2동,최우선 대응,78.29,1,37.673610227692315,127.04690742564104,39
1132052200,서울특별시 도봉구 도봉2동,최우선 대응,78.29,2,37.683963617567564,127.04861996486486,37
1132052200,서울특별시 도봉구 도봉2동,최우선 대응,78.29,3,37.67894442,127.04869413333331,3
1130564500,서울특별시 강북구 우이동,최우선 대응,78.09,1,37.647292271714285,127.01176509714288,35
1130564500,서울특별시 강북구 우이동,최우선 대응,78.09,2,37.65938113470588,127.01222732352942,17
1130564500,서울특별시 강북구 우이동,최우선 대응,78.09,3,37.66206518166667,127.00978605,6
1162074500,서울특별시 관악구 삼성동,잠재 위험,76.86,1,37.465872168000004,126.93057438800001,25
1162074500,서울특별시 관악구 삼성동,잠재 위험,76.86,2,37.47067740000001,126.93106973529412,17
1162074500,서울특별시 관악구 삼성동,잠재 위험,76.86,3,37.462727328571425,126.92651650714285,14
1138052000,서울특별시 은평구 불광1동,최우선 대응,76.44,1,37.614086021403516,126.93231657192982,57
1138052000,서울특별시 은평구 불광1동,최우선 대응,76.44,2,37.61892610790698,126.92534804186046,43
1138052000,서울특별시 은평구 불광1동,최우선 대응,76.44,3,37.614736666,126.92778005999999,5
1138060000,서울특별시 은평구 응암3동,최우선 대응,76.19,1,37.58888002867925,126.91777483584906,106
1147061100,서울특별시 양천구 신월7동,최우선 대응,76.11,1,37.52127649906667,126.833795628,75
1147061100,서울특별시 양천구 신월7동,최우선 대응,76.11,2,37.516932069999996,126.8328676,2
1141066000,서울특별시 서대문구 홍은1동,최우선 대응,76.03,1,37.5996001104,126.94751407466666,75
1141066000,서울특별시 서대문구 홍은1동,최우선 대응,76.03,2,37.59231622666667,126.94263216666667,9
1141066000,서울특별시 서대문구 홍은1동,최우선 대응,76.03,3,37.596796160000004,126.95551111428571,7
1154563000,서울특별시 금천구 독산3동,최우선 대응,75.04,1,37.476142886480005,126.903381312,125
1141064000,서울특별시 서대문구 홍제3동,최우선 대응,74.63,1,37.59244132027777,126.94718112361109,72
1147058000,서울특별시 양천구 신월3동,최우선 대응,73.06,1,37.53298260164383,126.82775096849318,73
1147058000,서울특별시 양천구 신월3동,최우선 대응,73.06,2,37.53905266,126.824477925,4
1147058000,서울특별시 양천구 신월3동,최우선 대응,73.06,3,37.5253213,126.83172985,2
1156058500,서울특별시 영등포구 도림동,최우선 대응,72.45,1,37.508869949538465,126.90056694307691,65
1156058500,서울특별시 영등포구 도림동,최우선 대응,72.45,2,37.51143004285715,126.90946474285712,7
1147057000,서울특별시 양천구 신월2동,최우선 대응,72.38,1,37.52404397586207,126.84506968965516,58
1147057000,서울특별시 양천구 신월2동,최우선 대응,72.38,2,37.52347038,126.85011521999999,5
1141069000,서울특별시 서대문구 남가좌1동,최우선 대응,71.97,1,37.57032680021276,126.91559404042553,47
1141069000,서울특별시 서대문구 남가좌1동,최우선 대응,71.97,2,37.571486225,126.92056635,4
1141069000,서울특별시 서대문구 남가좌1동,최우선 대응,71.97,3,37.57430846666667,126.91708066666668,3
1168073000,서울특별시 강남구 일원1동,잠재 위험,71.56,1,37.49262796183333,127.08568781833331,60
1168073000,서울특별시 강남구 일원1동,잠재 위험,71.56,2,37.49564465,127.09120874999999,2
1126052000,서울특별시 중랑구 면목2동,최우선 대응,70.64,1,37.58965992791209,127.0785370934066,91
1132067000,서울특별시 도봉구 쌍문2동,최우선 대응,70.53,1,37.65735115666667,127.03735215466668,75
1126056500,서울특별시 중랑구 면목본동,최우선 대응,70.24,1,37.58842585544776,127.08973674701492,134
